method	path	tier	families	category	summary	where
GET	/ISAPI/Event/triggers/LineDetection-{channelID}	reference	deepinview,dvr-pro,dvr-value	Smart Event (Perimeter Intrusion Detection)	Get the linkage parameters of line crossing detection event for a specified channel	deepinview:19.10.2.11@p734;dvr-pro:12.7.2.5@p279;dvr-value:12.6.2.5@p289
PUT	/ISAPI/Event/triggers/LineDetection-{channelID}	reference	deepinview,dvr-pro,dvr-value	Smart Event (Perimeter Intrusion Detection)	Set the linkage parameters of line crossing detection event for a specified channel	deepinview:19.10.2.12@p735;dvr-pro:12.7.2.6@p280;dvr-value:12.6.2.6@p290
GET	/ISAPI/Event/triggers/LineDetection-{channelID}/notifications	reference	deepinview,dvr-pro,dvr-value	Smart Event (Perimeter Intrusion Detection)	Get alarm linkage parameters of a line crossing detection channel	deepinview:19.10.2.10@p732;dvr-pro:12.7.2.4@p277;dvr-value:12.6.2.4@p287
PUT	/ISAPI/Event/triggers/LineDetection-{channelID}/notifications	reference	deepinview,dvr-pro,dvr-value	Smart Event (Perimeter Intrusion Detection)	Set alarm linkage parameters of line crossing detection by channel	deepinview:19.10.2.9@p731;dvr-pro:12.7.2.3@p276;dvr-value:12.6.2.3@p286
DELETE	/ISAPI/Event/triggers/VMD-{channelID}	reference	deepinview,ipc-value	Video (General)	Delete the linkage of motion detection for a specified channel	deepinview:19.2.10.5@p342;ipc-value:8.2.8.5@p157
GET	/ISAPI/Event/triggers/VMD-{channelID}	reference	deepinview,ipc-value	Video (General)	Get the linkage parameters of motion detection for a specified channel	deepinview:19.2.10.8@p345;ipc-value:8.2.8.8@p160
PUT	/ISAPI/Event/triggers/VMD-{channelID}	reference	deepinview,ipc-value	Video (General)	Set the linkage parameters of motion detection for a specified channel	deepinview:19.2.10.9@p348;ipc-value:8.2.8.9@p163
GET	/ISAPI/Event/triggers/VMD-{channelID}/notifications	reference	deepinview,ipc-value	Video (General)	Get the linkage triggering parameters of motion detection for a specified channel	deepinview:19.2.10.7@p344;ipc-value:8.2.8.7@p159
PUT	/ISAPI/Event/triggers/VMD-{channelID}/notifications	reference	deepinview,ipc-value	Video (General)	Set the linkage triggering parameters of motion detection for a specified channel	deepinview:19.2.10.6@p343;ipc-value:8.2.8.6@p158
GET	/ISAPI/Event/triggers/attendedBaggage-{channelID}	reference	deepinview	Abnormal Event Detection	Get the linkage parameters of object removal detection	deepinview:19.7.3.7@p568
PUT	/ISAPI/Event/triggers/attendedBaggage-{channelID}	reference	deepinview	Abnormal Event Detection	Set the linkage parameters of object removal detection	deepinview:19.7.3.8@p569
GET	/ISAPI/Event/triggers/counting-{channelID}	reference	deepinview	People Counting	Get the linkage parameters of people counting	deepinview:19.5.1.7@p470
PUT	/ISAPI/Event/triggers/counting-{channelID}	reference	deepinview	People Counting	Set the linkage parameters of people counting	deepinview:19.5.1.6@p468
DELETE	/ISAPI/Event/triggers/diskerror	reference	anpr,deepinview,ipc-value	Device (General)	Delete the linkage of HDD error	anpr:12.1.1.3@p88;deepinview:19.1.1.3@p143;ipc-value:8.1.1.3@p54
GET	/ISAPI/Event/triggers/diskerror	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the linkage parameters of HDD error	anpr:12.1.1.1@p85;deepinview:19.1.1.1@p140;dvr-pro:12.1.1.1@p78;dvr-value:12.1.1.1@p78;ipc-value:8.1.1.1@p51
PUT	/ISAPI/Event/triggers/diskerror	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Set the linkage parameters of HDD error	anpr:12.1.1.2@p86;deepinview:19.1.1.2@p141;dvr-pro:12.1.1.2@p79;dvr-value:12.1.1.2@p79;ipc-value:8.1.1.2@p52
DELETE	/ISAPI/Event/triggers/diskfull	reference	deepinview	Device (General)	Delete the linkage of full HDD	deepinview:19.1.1.6@p146
GET	/ISAPI/Event/triggers/diskfull	reference	deepinview,dvr-pro,dvr-value	Device (General)	Get the linkage parameters of full HDD	deepinview:19.1.1.4@p143;dvr-pro:12.1.1.3@p81;dvr-value:12.1.1.3@p81
PUT	/ISAPI/Event/triggers/diskfull	reference	deepinview,dvr-pro,dvr-value	Device (General)	Set the linkage parameters of full HDD	deepinview:19.1.1.5@p144;dvr-pro:12.1.1.4@p82;dvr-value:12.1.1.4@p82
GET	/ISAPI/Event/triggers/faceContrast-{channelID}	reference	dvr-pro	Face Capture	Get the linkage parameters of face picture comparison	dvr-pro:12.5.2.6@p233
PUT	/ISAPI/Event/triggers/faceContrast-{channelID}	reference	dvr-pro	Face Capture	Set the linkage parameters of face picture comparison	dvr-pro:12.5.2.5@p231
GET	/ISAPI/Event/triggers/faceContrastFailure-{channelID}	reference	dvr-pro	Face Capture	Get the linkage parameters of event when face picture comparison failed	dvr-pro:12.5.2.8@p236
PUT	/ISAPI/Event/triggers/faceContrastFailure-{channelID}	reference	dvr-pro	Face Capture	Set the linkage parameters of event when face picture comparison failed	dvr-pro:12.5.2.7@p234
GET	/ISAPI/Event/triggers/faceContrastSuccess-{channelID}	reference	dvr-pro	Face Capture	Get the linkage parameters of event when face picture comparison completed	dvr-pro:12.5.2.9@p237
PUT	/ISAPI/Event/triggers/faceContrastSuccess-{channelID}	reference	dvr-pro	Face Capture	Set the linkage parameters of event when face picture comparison completed	dvr-pro:12.5.2.10@p238
PUT	/ISAPI/Event/triggers/faceLib-{channelID}/{FDID}	reference	deepinview	Face Capture	Set the linkage action parameters of a specified face picture library	deepinview:19.8.2.2@p649
DELETE	/ISAPI/Event/triggers/faceSnap-{channelID}	reference	deepinview	Face Capture	Delete the linkage of face capture	deepinview:19.8.1.9@p612
GET	/ISAPI/Event/triggers/faceSnap-{channelID}	reference	deepinview,dvr-pro,dvr-value	Face Capture	Get the linkage parameters of face capture	deepinview:19.8.1.11@p614;dvr-pro:12.5.1.6@p226;dvr-value:12.5.1.6@p262
PUT	/ISAPI/Event/triggers/faceSnap-{channelID}	reference	deepinview,dvr-pro,dvr-value	Face Capture	Set the linkage parameters of face capture	deepinview:19.8.1.10@p613;dvr-pro:12.5.1.5@p225;dvr-value:12.5.1.5@p261
GET	/ISAPI/Event/triggers/group-{channelID}	reference	deepinview	Abnormal Event Detection	Get linkage parameters of people gathering	deepinview:19.7.4.6@p579
PUT	/ISAPI/Event/triggers/group-{channelID}	reference	deepinview	Abnormal Event Detection	Set the linkage parameters of people gathering	deepinview:19.7.4.5@p577
DELETE	/ISAPI/Event/triggers/illaccess	reference	deepinview,ipc-value	Device (General)	Delete the linkage of illegal login	deepinview:19.1.1.7@p146;ipc-value:8.1.1.4@p54
GET	/ISAPI/Event/triggers/illaccess	reference	deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the linkage parameters of illegal login	deepinview:19.1.1.9@p149;dvr-pro:12.1.1.6@p86;dvr-value:12.1.1.6@p86;ipc-value:8.1.1.6@p57
PUT	/ISAPI/Event/triggers/illaccess	reference	deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Set the linkage parameters of illegal login	deepinview:19.1.1.8@p147;dvr-pro:12.1.1.5@p84;dvr-value:12.1.1.5@p84;ipc-value:8.1.1.5@p55
DELETE	/ISAPI/Event/triggers/ipconflict	reference	anpr,deepinview,ipc-value	Device (General)	Delete the linkage of IP address conflict event	anpr:12.1.1.5@p89;deepinview:19.1.1.11@p152;ipc-value:8.1.1.8@p60
GET	/ISAPI/Event/triggers/ipconflict	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the linkage parameters of IP address conflict event	anpr:12.1.1.4@p88;deepinview:19.1.1.10@p150;dvr-pro:12.1.1.7@p87;dvr-value:12.1.1.7@p87;ipc-value:8.1.1.7@p58
PUT	/ISAPI/Event/triggers/ipconflict	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Set the linkage parameters of IP address conflict event	anpr:12.1.1.6@p90;deepinview:19.1.1.12@p152;dvr-pro:12.1.1.8@p89;dvr-value:12.1.1.8@p89;ipc-value:8.1.1.9@p60
GET	/ISAPI/Event/triggers/loitering-{channelID}	reference	deepinview	Abnormal Event Detection	Get the linkage parameters of loitering detection	deepinview:19.7.2.7@p550
PUT	/ISAPI/Event/triggers/loitering-{channelID}	reference	deepinview	Abnormal Event Detection	Set the linkage parameters of loitering detection	deepinview:19.7.2.8@p551
DELETE	/ISAPI/Event/triggers/nicbroken	reference	anpr,deepinview,ipc-value	Device (General)	Delete the linkage of network disconnection	anpr:12.1.1.9@p95;deepinview:19.1.1.15@p157;ipc-value:8.1.1.12@p65
GET	/ISAPI/Event/triggers/nicbroken	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the linkage parameters of network disconnection	anpr:12.1.1.7@p92;deepinview:19.1.1.13@p154;dvr-pro:12.1.1.9@p91;dvr-value:12.1.1.9@p91;ipc-value:8.1.1.10@p62
PUT	/ISAPI/Event/triggers/nicbroken	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Set the linkage parameters of network disconnection	anpr:12.1.1.8@p93;deepinview:19.1.1.14@p155;dvr-pro:12.1.1.10@p92;dvr-value:12.1.1.10@p92;ipc-value:8.1.1.11@p63
GET	/ISAPI/Event/triggers/rapidMove-{channelID}	reference	deepinview	Abnormal Event Detection	Get the linkage parameters of fast moving detection	deepinview:19.7.1.6@p541
PUT	/ISAPI/Event/triggers/rapidMove-{channelID}	reference	deepinview	Abnormal Event Detection	Set the linkage parameters of fast moving detection	deepinview:19.7.1.5@p539
GET	/ISAPI/Event/triggers/regionEntrance-{channelID}	reference	deepinview	Smart Event (Perimeter Intrusion Detection)	Get the linkage parameters of region entrance for a specified channel	deepinview:19.10.3.7@p756
PUT	/ISAPI/Event/triggers/regionEntrance-{channelID}	reference	deepinview	Smart Event (Perimeter Intrusion Detection)	Set the linkage parameters of region entrance for a specified channel	deepinview:19.10.3.8@p757
GET	/ISAPI/Event/triggers/regionEntrance-{channelID}/notifications	reference	deepinview	Smart Event (Perimeter Intrusion Detection)	Get the linkage triggering parameters of region entrance for a specified channel	deepinview:19.10.3.5@p754
PUT	/ISAPI/Event/triggers/regionEntrance-{channelID}/notifications	reference	deepinview	Smart Event (Perimeter Intrusion Detection)	Set the linkage triggering parameters of region entrance for a specified channel	deepinview:19.10.3.6@p755
GET	/ISAPI/Event/triggers/regionExiting-{channelID}	reference	deepinview	Smart Event (Perimeter Intrusion Detection)	Get the linkage parameters of region exiting for a specified channel	deepinview:19.10.4.8@p783
PUT	/ISAPI/Event/triggers/regionExiting-{channelID}	reference	deepinview	Smart Event (Perimeter Intrusion Detection)	Set the linkage parameters of region exiting for a specified channel	deepinview:19.10.4.7@p780
GET	/ISAPI/Event/triggers/regionExiting-{channelID}/notifications	reference	deepinview	Smart Event (Perimeter Intrusion Detection)	Get the linkage triggering parameters of region exiting for a specified channel	deepinview:19.10.4.5@p778
PUT	/ISAPI/Event/triggers/regionExiting-{channelID}/notifications	reference	deepinview	Smart Event (Perimeter Intrusion Detection)	Set the linkage triggering parameters of region exiting for a specified channel	deepinview:19.10.4.6@p779
DELETE	/ISAPI/Event/triggers/tamper-{channelID}	reference	deepinview,ipc-value	Video (General)	Delete the linkage of video tampering detection for a specified channel	deepinview:19.2.15.6@p410;ipc-value:8.2.12.6@p209
GET	/ISAPI/Event/triggers/tamper-{channelID}	reference	deepinview,ipc-value	Video (General)	Get the linkage parameters of video tampering detection for a specified channel	deepinview:19.2.15.5@p408;ipc-value:8.2.12.5@p207
PUT	/ISAPI/Event/triggers/tamper-{channelID}	reference	deepinview,ipc-value	Video (General)	Set the linkage parameters of video tampering detection for a specified channel	deepinview:19.2.15.7@p410;ipc-value:8.2.12.7@p209
GET	/ISAPI/Event/triggers/tamper-{channelID}/notifications	reference	deepinview,ipc-value	Video (General)	Get the linkage triggering parameters of video tampering detection for a specified channel	deepinview:19.2.15.9@p413;ipc-value:8.2.12.9@p212
PUT	/ISAPI/Event/triggers/tamper-{channelID}/notifications	reference	deepinview,ipc-value	Video (General)	Set the linkage triggering parameters of video tampering detection for a specified channel	deepinview:19.2.15.8@p412;ipc-value:8.2.12.8@p211
GET	/ISAPI/Event/triggers/unattendedBaggage-{channelID}	reference	deepinview	Abnormal Event Detection	Get the linkage parameters of unattended baggage detection	deepinview:19.7.5.5@p594
PUT	/ISAPI/Event/triggers/unattendedBaggage-{channelID}	reference	deepinview	Abnormal Event Detection	Set the linkage parameters of unattended baggage detection	deepinview:19.7.5.6@p595
GET	/ISAPI/Event/triggers/vehicledetection-{channelID}	reference	deepinview	Vehicle Recognition	Get the linkage parameters of vehicle detection for a specified channel	deepinview:19.6.1.2@p498
PUT	/ISAPI/Event/triggers/vehicledetection-{channelID}	reference	deepinview	Vehicle Recognition	Set the linkage parameters of vehicle detection for a specified channel	deepinview:19.6.1.1@p496
GET	/ISAPI/Event/triggersCap	narrative	anpr,deepinview,dvr-pro,dvr-value	Narrative / Quick Start	Get the capability of event linkage configuration (related URI: GET /ISAPI/Event/triggersCap), whether the	anpr:@p75;deepinview:@p92;dvr-pro:@p63;dvr-value:@p65
GET	/ISAPI/ITC/Entrance/capabilities	reference	anpr	Entrance & Exit Management and Control	Get the entrance and exit capability	anpr:12.9.5.1@p430
GET	/ISAPI/ITC/Entrance/entranceParam	reference	anpr	Entrance & Exit Management and Control	Get the entrance and exit parameters of traffic cameras	anpr:12.9.5.2@p431
PUT	/ISAPI/ITC/Entrance/entranceParam	reference	anpr	Entrance & Exit Management and Control	Set the entrance and exit parameters	anpr:12.9.5.3@p432
GET	/ISAPI/ITC/ITCStatus/capabilities	reference	anpr	Device (General)	Get the device status capability	anpr:12.1.5.2@p111
GET	/ISAPI/ITC/ITCStatus/previewStatus	reference	anpr	Device (General)	Get the live view status	anpr:12.1.5.3@p111
GET	/ISAPI/ITC/TriggerMode/TPS/capabilities	reference	anpr	Traffic Control	Get the configuration capability of trigger mode for traffic data statistics	anpr:12.6.2.1@p345
GET	/ISAPI/ITC/TriggerMode/capabilities	reference	anpr,deepinview	Vehicle Recognition	Get trigger mode capability of traffic cameras	anpr:12.5.1.18@p244;deepinview:@p85
GET	/ISAPI/ITC/TriggerMode/epoliceRS485	reference	anpr	Vehicle Recognition	Get parameters of intersection violation system vehicle detector	anpr:12.5.1.19@p244
PUT	/ISAPI/ITC/TriggerMode/epoliceRS485	reference	anpr	Vehicle Recognition	Set parameters of intersection violation system vehicle detector	anpr:12.5.1.20@p246
GET	/ISAPI/ITC/TriggerMode/epoliceRS485/capabilities	reference	anpr	Vehicle Recognition	Get the parameters capability of intersection violation system vehicle detector	anpr:12.5.1.21@p248
GET	/ISAPI/ITC/TriggerMode/epoliceRS485/recommendation	reference	anpr	Vehicle Recognition	Get the recommended configurations of intersection violation system vehicle detector	anpr:12.5.1.22@p249
GET	/ISAPI/ITC/TriggerMode/lightStatus	reference	anpr	Vehicle Recognition	Get the status of video detection traffic lights	anpr:12.5.1.23@p251
GET	/ISAPI/ITC/TriggerMode/nonMotorCon/capabilities	reference	anpr	Traffic Control	Get the capability of non-motor vehicle control parameters	anpr:12.6.4.1@p384
GET	/ISAPI/ITC/TriggerMode/parkingIncident/capabilities	reference	anpr	Parking Space Detection	Get the capability of configuring the trigger mode parameters of parking detection	anpr:12.10.2.1@p442
GET	/ISAPI/ITC/TriggerMode/plateRecognition/{triggerMode}/capabilities	reference	anpr	Vehicle Recognition	Get the license plate recognition configuration capability of a specific trigger mode	anpr:12.5.1.24@p251
GET	/ISAPI/ITC/TriggerMode/postEpoliceRS485	reference	anpr	Vehicle Recognition	Get parameters of checkpoint intersection violation system vehicle detector	anpr:12.5.1.25@p252
PUT	/ISAPI/ITC/TriggerMode/postEpoliceRS485	reference	anpr	Vehicle Recognition	Set parameters of checkpoint intersection violation system vehicle detector	anpr:12.5.1.26@p252
GET	/ISAPI/ITC/TriggerMode/postEpoliceRS485/capabilities	reference	anpr	Vehicle Recognition	Get the parameters capability of checkpoint intersection violation system vehicle detector	anpr:12.5.1.27@p252
GET	/ISAPI/ITC/TriggerMode/postEpoliceRS485/recommendation	reference	anpr	Vehicle Recognition	Get the recommended configurations of checkpoint intersection violation system vehicle detector	anpr:12.5.1.28@p254
GET	/ISAPI/ITC/TriggerMode/postMPR	reference	anpr	Vehicle Recognition	Get video trigger mode parameters of entrances and exits	anpr:12.5.1.30@p257
PUT	/ISAPI/ITC/TriggerMode/postMPR	reference	anpr	Vehicle Recognition	Set video trigger mode parameters of entrances and exits	anpr:12.5.1.29@p255
GET	/ISAPI/ITC/TriggerMode/postMPR/capabilities	reference	anpr	Vehicle Recognition	Get video trigger mode capability of entrances and exits	anpr:12.5.1.31@p258
GET	/ISAPI/ITC/TriggerMode/postNoComityPed	reference	anpr	Vehicle Recognition	Get the trigger mode parameters of not yielding to pedestrian	anpr:12.5.1.32@p259
PUT	/ISAPI/ITC/TriggerMode/postNoComityPed	reference	anpr	Vehicle Recognition	Set the trigger mode parameters of not yielding to pedestrian	anpr:12.5.1.33@p261
GET	/ISAPI/ITC/TriggerMode/postNoComityPed/capabilities	reference	anpr	Vehicle Recognition	Get the trigger mode capability of not yielding to pedestrian	anpr:12.5.1.34@p263
GET	/ISAPI/ITC/TriggerMode/postPRS	reference	anpr	Vehicle Recognition	Get the parameters of ANPR system	anpr:12.5.1.36@p266
PUT	/ISAPI/ITC/TriggerMode/postPRS	reference	anpr	Vehicle Recognition	Set the parameters of ANPR system	anpr:12.5.1.35@p265
GET	/ISAPI/ITC/TriggerMode/postPRS/capabilities	reference	anpr	Vehicle Recognition	Get the trigger mode configuration capability of ANPR system	anpr:12.5.1.37@p268
GET	/ISAPI/ITC/TriggerMode/roadWarning/voiceBroadcast	reference	anpr	Traffic Control	Get the voice prompt parameters	anpr:12.6.5.1@p385
PUT	/ISAPI/ITC/TriggerMode/roadWarning/voiceBroadcast	reference	anpr	Traffic Control	Set the voice prompt parameters	anpr:12.6.5.2@p386
GET	/ISAPI/ITC/TriggerMode/switchStatus	reference	anpr	Vehicle Recognition	Get statuses of switching trigger mode	anpr:12.5.1.38@p271
GET	/ISAPI/ITC/TriggerMode/trafficIncident	reference	anpr	Vehicle Recognition	Get the trigger mode parameters of traffic incidents	anpr:12.5.1.41@p272
PUT	/ISAPI/ITC/TriggerMode/trafficIncident	reference	anpr	Vehicle Recognition	Set the trigger mode parameters of traffic incidents	anpr:12.5.1.40@p271
GET	/ISAPI/ITC/TriggerMode/trafficIncident/capabilities	reference	anpr	Vehicle Recognition	Get the trigger mode configuration capability of traffic incidents	anpr:12.5.1.39@p271
GET	/ISAPI/ITC/TriggerMode/videoEpolice	reference	anpr	Vehicle Recognition	Get the trigger mode parameters of video intersection violation system	anpr:12.5.1.43@p276
PUT	/ISAPI/ITC/TriggerMode/videoEpolice	reference	anpr	Vehicle Recognition	Set the trigger mode parameters of video intersection violation system	anpr:12.5.1.44@p280
GET	/ISAPI/ITC/TriggerMode/videoEpolice/capabilities	reference	anpr	Vehicle Recognition	Get the capability of video intersection violation parameters	anpr:12.5.1.42@p272
GET	/ISAPI/ITC/TriggerMode/videoMonitor	reference	anpr	Vehicle Recognition	Get the multiple-frame recognition mode parameters of smart video security	anpr:12.5.1.45@p283
PUT	/ISAPI/ITC/TriggerMode/videoMonitor	reference	anpr	Vehicle Recognition	Set the multiple-frame recognition mode parameters of smart video security	anpr:12.5.1.46@p285
GET	/ISAPI/ITC/TriggerMode/videoMonitor/capabilities	reference	anpr	Vehicle Recognition	Get the multiple-frame recognition mode capability of smart video security	anpr:12.5.1.47@p286
GET	/ISAPI/ITC/TriggerMode/videoMonitor/recommendation	reference	anpr	Vehicle Recognition	Get the recommended value of smart video security multi-frame recognition parameter	anpr:12.5.1.48@p287
GET	/ISAPI/ITC/cabinetParam	reference	anpr	Entrance & Exit Management and Control	Get the cabinet parameters	anpr:12.9.1.1@p396
PUT	/ISAPI/ITC/cabinetParam	reference	anpr	Entrance & Exit Management and Control	Set the cabinet parameters	anpr:12.9.1.2@p397
GET	/ISAPI/ITC/cabinetParam/capabilities	reference	anpr	Entrance & Exit Management and Control	Get the capability of cabinet parameters	anpr:12.9.1.3@p398
GET	/ISAPI/ITC/capabilities	reference	anpr,deepinview	Vehicle Recognition	Get the total capability of vehicle capture and recognition	anpr:12.5.1.1@p220;deepinview:19.6.1.3@p499
GET	/ISAPI/ITC/carFeatureParam	reference	anpr	Vehicle Recognition	Get the vehicle feature configuration parameters	anpr:12.5.1.3@p224
PUT	/ISAPI/ITC/carFeatureParam	reference	anpr	Vehicle Recognition	Set the vehicle feature configuration parameters	anpr:12.5.1.4@p226
GET	/ISAPI/ITC/carFeatureParam/capabilities	reference	anpr	Vehicle Recognition	Get the vehicle feature parameters capability	anpr:12.5.1.2@p222
GET	/ISAPI/ITC/illegalDictionary	reference	anpr	Vehicle Recognition	Get the parameters of traffic rule violation dictionary	anpr:12.5.1.5@p229
PUT	/ISAPI/ITC/illegalDictionary	reference	anpr	Vehicle Recognition	Set parameters of traffic violation dictionary	anpr:12.5.1.6@p230
GET	/ISAPI/ITC/illegalDictionary/capabilities	reference	anpr	Vehicle Recognition	Get the capability of traffic rule violation dictionary	anpr:12.5.1.7@p231
GET	/ISAPI/ITC/illegalDictionary/overspeedAdvancedParam	reference	anpr	Vehicle Recognition	Get the advanced configuration of traffic rule violation dictionary	anpr:12.5.1.9@p232
PUT	/ISAPI/ITC/illegalDictionary/overspeedAdvancedParam	reference	anpr	Vehicle Recognition	Set the advanced parameters of traffic rule violation dictionary	anpr:12.5.1.10@p232
PUT	/ISAPI/ITC/illegalDictionary/overspeedAdvancedParam/reset	reference	anpr	Vehicle Recognition	Restore the advanced parameters of traffic violation dictionary to default settings	anpr:12.5.1.8@p231
PUT	/ISAPI/ITC/illegalDictionary/reset	reference	anpr	Vehicle Recognition	Restore the traffic violation dictionary to default settings	anpr:12.5.1.11@p233
GET	/ISAPI/ITC/illegalSchedules	reference	anpr	Vehicle Recognition	Get the arming parameters for traffic violation capture	anpr:12.5.1.13@p236
PUT	/ISAPI/ITC/illegalSchedules	reference	anpr	Vehicle Recognition	Set the arming parameters for traffic violations capture	anpr:12.5.1.14@p236
GET	/ISAPI/ITC/illegalSchedules/capabilities	reference	anpr	Vehicle Recognition	Get the capability of arming parameters for traffic violations capture	anpr:12.5.1.12@p234
GET	/ISAPI/ITC/plateRecognitionParam	reference	anpr	Vehicle Recognition	Get ANPR parameters	anpr:12.5.1.17@p242
PUT	/ISAPI/ITC/plateRecognitionParam	reference	anpr	Vehicle Recognition	Set ANPR parameters	anpr:12.5.1.16@p240
GET	/ISAPI/ITC/plateRecognitionParam/capabilities	reference	anpr	Vehicle Recognition	Get ANPR configuration capability	anpr:12.5.1.15@p238
GET	/ISAPI/ITC/videoMark	reference	anpr	Vehicle Recognition	Get the video mark parameters	anpr:12.5.1.50@p290
PUT	/ISAPI/ITC/videoMark	reference	anpr	Vehicle Recognition	Set the video mark parameters	anpr:12.5.1.49@p289
GET	/ISAPI/ITC/videoMark/capabilities	reference	anpr	Vehicle Recognition	Get the video tag capability	anpr:12.5.1.51@p290
GET	/ISAPI/Image/channels	reference	deepinview,dvr-value,ipc-value	Video (General)	Get image processing parameters of all channels	deepinview:19.2.5.1@p250;dvr-value:12.2.1.1@p144;ipc-value:8.2.4.1@p113
PUT	/ISAPI/Image/channels	reference	deepinview,dvr-value,ipc-value	Video (General)	Set image processing parameters of all channels	deepinview:19.2.5.2@p252;dvr-value:12.2.1.2@p145;ipc-value:8.2.4.2@p114
GET	/ISAPI/Image/channels/capabilities	reference	anpr,deepinview,ipc-value	Video (General)	Get the complete video and image configuration capability of all channels	anpr:12.2.5.20@p165;deepinview:19.2.5.27@p311;ipc-value:8.2.4.20@p139
GET	/ISAPI/Image/channels/imageModes	reference	anpr,dvr-pro,dvr-value	Video (General)	Get the image mode parameters of all channels	anpr:12.2.5.21@p166;dvr-pro:12.2.1.1@p134;dvr-value:12.2.1.6@p149
GET	/ISAPI/Image/channels/imageModes/{channelID}	reference	dvr-pro,dvr-value	Video (General)	Get the configuration parameters of all image modes of a specific channel	dvr-pro:12.2.1.2@p134;dvr-value:12.2.1.7@p150
GET	/ISAPI/Image/channels/{channelID}	reference	anpr,deepinview,dvr-value,ipc-value	Video (General)	Get the image processing parameters of a specified channel	anpr:12.2.5.19@p163;deepinview:19.2.5.26@p308;dvr-value:12.2.1.5@p148;ipc-value:8.2.4.19@p137
PUT	/ISAPI/Image/channels/{channelID}	reference	anpr,deepinview,dvr-value,ipc-value	Video (General)	Set image parameters of a specific channel	anpr:12.2.5.1@p150;deepinview:19.2.5.3@p263;dvr-value:12.2.1.3@p146;ipc-value:8.2.4.3@p116
GET	/ISAPI/Image/channels/{channelID}/BLC	reference	deepinview,ipc-value	Video (General)	Get the BLC (Backlight Compensation) parameters of a specific channel	deepinview:19.2.1.2@p232;ipc-value:8.2.1.2@p99
PUT	/ISAPI/Image/channels/{channelID}/BLC	reference	deepinview,ipc-value	Video (General)	Set the BLC (Backlight Compensation) parameters of a specific channel	deepinview:19.2.1.1@p231;ipc-value:8.2.1.1@p98
GET	/ISAPI/Image/channels/{channelID}/BLC/day	reference	deepinview,ipc-value	Video (General)	Get the backlight compensation (in day mode) parameters of a specified channel	deepinview:19.2.1.3@p233;ipc-value:8.2.1.3@p100
PUT	/ISAPI/Image/channels/{channelID}/BLC/day	reference	deepinview,ipc-value	Video (General)	Set the backlight compensation (in day mode) parameters of a specified channel	deepinview:19.2.1.4@p234;ipc-value:8.2.1.4@p101
GET	/ISAPI/Image/channels/{channelID}/BLC/night	reference	deepinview,ipc-value	Video (General)	Get the backlight compensation (in night mode) parameters of a specified channel	deepinview:19.2.1.5@p235;ipc-value:8.2.1.5@p102
PUT	/ISAPI/Image/channels/{channelID}/BLC/night	reference	deepinview,ipc-value	Video (General)	Set the backlight compensation (in night mode) parameters of a specified channel	deepinview:19.2.1.6@p236;ipc-value:8.2.1.6@p103
GET	/ISAPI/Image/channels/{channelID}/DSS	reference	anpr	Video (General)	Get the configuration parameters of the low illumination electronic shutter of a specified channel	anpr:12.2.2.1@p136
PUT	/ISAPI/Image/channels/{channelID}/DSS	reference	anpr	Video (General)	Set the configuration parameters of the low illumination electronic shutter for a specified channel	anpr:12.2.2.2@p137
GET	/ISAPI/Image/channels/{channelID}/EIS	reference	deepinview	Video (General)	Get the electronic image stabilization (in auto mode) parameters of a specified channel	deepinview:19.2.6.3@p314
PUT	/ISAPI/Image/channels/{channelID}/EIS	reference	deepinview	Video (General)	Set the electronic image stabilization (in auto mode) parameters of a specified channel	deepinview:19.2.6.4@p315
GET	/ISAPI/Image/channels/{channelID}/EIS/day	reference	deepinview	Video (General)	Get the electronic image stabilization (in day mode) parameters of a specified channel	deepinview:19.2.6.5@p315
PUT	/ISAPI/Image/channels/{channelID}/EIS/day	reference	deepinview	Video (General)	Set the electronic image stabilization (in day mode) parameters of a specified channel	deepinview:19.2.6.6@p316
GET	/ISAPI/Image/channels/{channelID}/EIS/night	reference	deepinview	Video (General)	Get the electronic image stabilization (in night mode) parameters of a specified channel	deepinview:19.2.6.8@p317
PUT	/ISAPI/Image/channels/{channelID}/EIS/night	reference	deepinview	Video (General)	Get the electronic image stabilization (in night mode) parameters of a specified channel	deepinview:19.2.6.7@p316
GET	/ISAPI/Image/channels/{channelID}/EPTZ	reference	deepinview	Video (General)	Get the e-PTZ parameters of a specified channel	deepinview:19.2.5.14@p298
PUT	/ISAPI/Image/channels/{channelID}/EPTZ	reference	deepinview	Video (General)	Set the e-PTZ parameters for a specified channel	deepinview:19.2.5.13@p298
GET	/ISAPI/Image/channels/{channelID}/EPTZ/mode	reference	deepinview	Video (General)	Get the parameters of switching e-PTZ mode	deepinview:19.2.5.16@p300
