method	path	tier	families	category	summary	where
GET	/ISAPI/System/fileExport/capabilities	reference	dvr-pro,dvr-value	Device (General)	Get the capability of exporting files from the device	dvr-pro:12.1.5.9@p120;dvr-value:12.1.5.9@p126
GET	/ISAPI/System/firmwareCodeV2	narrative	anpr,deepinview,dvr-pro,dvr-value	Narrative / Quick Start	1. Search for the device firmware ID: GET /ISAPI/System/firmwareCodeV2.	anpr:@p41;deepinview:@p55;dvr-pro:@p40;dvr-value:@p40
POST	/ISAPI/System/mutexFunction	reference	dvr-pro	Device (General)	Search for the mutual exclusion information of a specified function	dvr-pro:12.1.5.11@p122
GET	/ISAPI/System/mutexFunction/capabilities	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the capability of mutual exclusion information	anpr:@p40;deepinview:@p54;dvr-pro:12.1.5.10@p121;dvr-value:12.1.5.10@p127;ipc-value:@p35
POST	/ISAPI/System/mutexFunctionClose	narrative	dvr-pro,dvr-value	Narrative / Quick Start		dvr-pro:@p117;dvr-value:@p123
GET	/ISAPI/System/mutexFunctionErrorMsg	reference	dvr-pro,dvr-value	Device (General)	Get the mutual exclusion information when device function exception occurred	dvr-pro:12.1.5.12@p122;dvr-value:12.1.5.11@p128
GET	/ISAPI/System/networkCapture/StoragePathInfo	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	3. Get storage path information of device packet capture: GET /ISAPI/System/networkCapture/StoragePathInfo?	anpr:@p32;deepinview:@p43;dvr-pro:@p31;dvr-value:@p31;ipc-value:@p27
GET	/ISAPI/System/networkCapture/capabilities	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	2. Check if the device supports packet captures: GET /ISAPI/System/networkCapture/capabilities?format=json. If	anpr:@p31;deepinview:@p42;dvr-pro:@p30;dvr-value:@p30;ipc-value:@p26
GET	/ISAPI/System/networkCapture/exportFile	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	Export device packet capture files: GET /ISAPI/System/networkCapture/exportFile?format=json.	anpr:@p32;deepinview:@p43;dvr-pro:@p31;dvr-value:@p31;ipc-value:@p27
PUT	/ISAPI/System/networkCapture/manualStart	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	Start device packet capture: PUT /ISAPI/System/networkCapture/manualStart?format=json&asyn=<asyn>&realTime=	anpr:@p32;deepinview:@p43;dvr-pro:@p31;dvr-value:@p31;ipc-value:@p27
GET	/ISAPI/System/networkCapture/manualStatus	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	Get status of device packet capture: GET /ISAPI/System/networkCapture/manualStatus?format=json.	anpr:@p32;deepinview:@p43;dvr-pro:@p31;dvr-value:@p31;ipc-value:@p27
PUT	/ISAPI/System/networkCapture/manualStop	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	Stop device packet capture: PUT /ISAPI/System/networkCapture/manualStop?format=json.	anpr:@p32;deepinview:@p43;dvr-pro:@p31;dvr-value:@p31;ipc-value:@p27
PUT	/ISAPI/System/onlineUpgrade/CancelUpgrade	narrative	anpr,deepinview,dvr-pro,dvr-value	Narrative / Quick Start	7. You can cancel the upgrade during the upgrade: PUT /ISAPI/System/onlineUpgrade/CancelUpgrade?	anpr:@p44;deepinview:@p58;dvr-pro:@p43;dvr-value:@p43
POST	/ISAPI/System/onlineUpgrade/PatrolInspection	narrative	anpr,deepinview,dvr-pro,dvr-value	Narrative / Quick Start	2. Manually trigger the device online upgrade inspection: POST /ISAPI/System/onlineUpgrade/PatrolInspection?	anpr:@p43;deepinview:@p57;dvr-pro:@p42;dvr-value:@p42
GET	/ISAPI/System/onlineUpgrade/SearchStatus	narrative	anpr,deepinview,dvr-pro,dvr-value	Narrative / Quick Start	6. You can search for online upgrade status during the upgrade: GET /ISAPI/System/onlineUpgrade/SearchStatus?	anpr:@p44;deepinview:@p58;dvr-pro:@p43;dvr-value:@p43
GET	/ISAPI/System/onlineUpgrade/capabilities	reference	anpr,deepinview,dvr-pro,dvr-value	Device (General)	Get the device online upgrade capability	anpr:@p43;deepinview:19.1.4.1@p180;dvr-pro:12.1.3.1@p96;dvr-value:12.1.3.1@p98
GET	/ISAPI/System/onlineUpgrade/deviceParameter	reference	dvr-pro,dvr-value	Device (General)	Get the device online upgrading parameters	dvr-pro:12.1.3.3@p98;dvr-value:12.1.3.3@p100
PUT	/ISAPI/System/onlineUpgrade/deviceParameter	reference	dvr-pro,dvr-value	Device (General)	Set the online device upgrade parameters	dvr-pro:12.1.3.2@p97;dvr-value:12.1.3.2@p99
PUT	/ISAPI/System/onlineUpgrade/downloadPackage	reference	dvr-pro,dvr-value	Device (General)	Start to download upgrade package to device	dvr-pro:12.1.3.5@p99;dvr-value:12.1.3.5@p101
